board,decision,Input
 XXOOXXO ,9,"[0, 1, 1, 2, 2, 1, 1, 2, 0]"
XOX O    ,8,"[1, 2, 1, 0, 2, 0, 0, 0, 0]"
OXX   O X,4,"[2, 1, 1, 0, 0, 0, 2, 0, 1]"
OX  OXO X,3,"[2, 1, 0, 0, 2, 1, 2, 0, 1]"
XOOXO  XX,7,"[1, 2, 2, 1, 2, 0, 0, 1, 1]"
 O  X O X,3,"[0, 2, 0, 0, 1, 0, 2, 0, 1]"
XOXXOO XO,7,"[1, 2, 1, 1, 2, 2, 0, 1, 2]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X OXO,4,"[0, 0, 0, 0, 1, 0, 2, 1, 2]"
 X XOXXOO,1,"[0, 1, 0, 1, 2, 1, 1, 2, 2]"
OX XO XOX,6,"[2, 1, 0, 1, 2, 0, 1, 2, 1]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X XOX   O,7,"[1, 0, 1, 2, 1, 0, 0, 0, 2]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
XXOX XOO ,9,"[1, 1, 2, 1, 0, 1, 2, 2, 0]"
 OXOXOOXX,1,"[0, 2, 1, 2, 1, 2, 2, 1, 1]"
XOXXO OXO,6,"[1, 2, 1, 1, 2, 0, 2, 1, 2]"
   X     ,5,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
 X XX OO ,9,"[0, 1, 0, 1, 1, 0, 2, 2, 0]"
 O X     ,5,"[0, 2, 0, 1, 0, 0, 0, 0, 0]"
O   XO  X,7,"[2, 0, 0, 0, 1, 2, 0, 0, 1]"
XXO XO O ,9,"[1, 1, 2, 0, 1, 2, 0, 2, 0]"
 XOOXXXOO,1,"[0, 1, 2, 2, 1, 1, 1, 2, 2]"
 XOXX XOO,6,"[0, 1, 2, 1, 1, 0, 1, 2, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O   X X,1,"[0, 0, 2, 0, 0, 0, 1, 0, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O   X  X ,2,"[2, 0, 0, 0, 1, 0, 0, 1, 0]"
 O OX XX ,6,"[0, 2, 0, 2, 1, 0, 1, 1, 0]"
XX O OOXX,5,"[1, 1, 0, 2, 0, 2, 2, 1, 1]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
 OOX OXX ,9,"[0, 2, 2, 1, 0, 2, 1, 1, 0]"
X  OOX OX,3,"[1, 0, 0, 2, 2, 1, 0, 2, 1]"
    OX   ,9,"[0, 0, 0, 0, 2, 1, 0, 0, 0]"
 XO X   O,6,"[0, 1, 2, 0, 1, 0, 0, 0, 2]"
 X      O,3,"[0, 1, 0, 0, 0, 0, 0, 0, 2]"
 OXXOXX O,8,"[0, 2, 1, 1, 2, 1, 1, 0, 2]"
XXO  X O ,7,"[1, 1, 2, 0, 0, 1, 0, 2, 0]"
   X   O ,5,"[0, 0, 0, 1, 0, 0, 0, 2, 0]"
  O  XX  ,5,"[0, 0, 2, 0, 0, 1, 1, 0, 0]"
    O X  ,8,"[0, 0, 0, 0, 2, 0, 1, 0, 0]"
O  OXX X ,2,"[2, 0, 0, 2, 1, 1, 0, 1, 0]"
O   XX   ,4,"[2, 0, 0, 0, 1, 1, 0, 0, 0]"
O X  OX  ,9,"[2, 0, 1, 0, 0, 2, 1, 0, 0]"
O  O XX  ,8,"[2, 0, 0, 2, 0, 1, 1, 0, 0]"
XXOO  XXO,6,"[1, 1, 2, 2, 0, 0, 1, 1, 2]"
 XOXOOX  ,1,"[0, 1, 2, 1, 2, 2, 1, 0, 0]"
 XX     O,5,"[0, 1, 1, 0, 0, 0, 0, 0, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XX    O ,1,"[0, 1, 1, 0, 0, 0, 0, 2, 0]"
O     X  ,9,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
   X    O,7,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
OOXO XXXO,5,"[2, 2, 1, 2, 0, 1, 1, 1, 2]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X  O  XO,3,"[0, 1, 0, 0, 2, 0, 0, 1, 2]"
OX XO X  ,9,"[2, 1, 0, 1, 2, 0, 1, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  XXOXXO,3,"[2, 0, 0, 1, 1, 2, 1, 1, 2]"
X O   OXX,5,"[1, 0, 2, 0, 0, 0, 2, 1, 1]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
X   XOOX ,4,"[1, 0, 0, 0, 1, 2, 2, 1, 0]"
XOX OOXXO,4,"[1, 2, 1, 0, 2, 2, 1, 1, 2]"
  O X  X ,2,"[0, 0, 2, 0, 1, 0, 0, 1, 0]"
 XO X O  ,1,"[0, 1, 2, 0, 1, 0, 2, 0, 0]"
OXO XX  O,4,"[2, 1, 2, 0, 1, 1, 0, 0, 2]"
XX XXOO O,3,"[1, 1, 0, 1, 1, 2, 2, 0, 2]"
 O X XXOO,5,"[0, 2, 0, 1, 0, 1, 1, 2, 2]"
 X     XO,5,"[0, 1, 0, 0, 0, 0, 0, 1, 2]"
 X   O   ,5,"[0, 1, 0, 0, 0, 2, 0, 0, 0]"
     X XO,5,"[0, 0, 0, 0, 0, 1, 0, 1, 2]"
XOO  O XX,7,"[1, 2, 2, 0, 0, 2, 0, 1, 1]"
  O   X  ,1,"[0, 0, 2, 0, 0, 0, 1, 0, 0]"
X     OX ,5,"[1, 0, 0, 0, 0, 0, 2, 1, 0]"
 O OXX  X,7,"[0, 2, 0, 2, 1, 1, 0, 0, 1]"
X   O    ,6,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
     X O ,5,"[0, 0, 0, 0, 0, 1, 0, 2, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XO      ,5,"[0, 1, 2, 0, 0, 0, 0, 0, 0]"
XO  X    ,3,"[1, 2, 0, 0, 1, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
OOXXXO OX,7,"[2, 2, 1, 1, 1, 2, 0, 2, 1]"
OOX O  XX,6,"[2, 2, 1, 0, 2, 0, 0, 1, 1]"
XO XO    ,7,"[1, 2, 0, 1, 2, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 O   X   ,5,"[0, 2, 0, 0, 0, 1, 0, 0, 0]"
XOO    X ,4,"[1, 2, 2, 0, 0, 0, 0, 1, 0]"
 XOO  OXX,5,"[0, 1, 2, 2, 0, 0, 2, 1, 1]"
XOXOO XXO,6,"[1, 2, 1, 2, 2, 0, 1, 1, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
O X XO X ,7,"[2, 0, 1, 0, 1, 2, 0, 1, 0]"
O OXX X O,6,"[2, 0, 2, 1, 1, 0, 1, 0, 2]"
XOX XX OO,7,"[1, 2, 1, 0, 1, 1, 0, 2, 2]"
 XO XOX  ,9,"[0, 1, 2, 0, 1, 2, 1, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
X  OXXO  ,9,"[1, 0, 0, 2, 1, 1, 2, 0, 0]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
  O  X  X,2,"[0, 0, 2, 0, 0, 1, 0, 0, 1]"
X XOXXOO ,9,"[1, 0, 1, 2, 1, 1, 2, 2, 0]"
    X  XO,2,"[0, 0, 0, 0, 1, 0, 0, 1, 2]"
   OOXXX ,9,"[0, 0, 0, 2, 2, 1, 1, 1, 0]"
XX   O   ,3,"[1, 1, 0, 0, 0, 2, 0, 0, 0]"
     X O ,5,"[0, 0, 0, 0, 0, 1, 0, 2, 0]"
XXO XO   ,9,"[1, 1, 2, 0, 1, 2, 0, 0, 0]"
O X XOOX ,2,"[2, 0, 1, 0, 1, 2, 2, 1, 0]"
OXXO   OX,6,"[2, 1, 1, 2, 0, 0, 0, 2, 1]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X       ,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O XX O ,1,"[0, 0, 2, 0, 1, 1, 0, 2, 0]"
XOO    XX,7,"[1, 2, 2, 0, 0, 0, 0, 1, 1]"
OX X O   ,9,"[2, 1, 0, 1, 0, 2, 0, 0, 0]"
XOX  XO O,8,"[1, 2, 1, 0, 0, 1, 2, 0, 2]"
 O  X X O,1,"[0, 2, 0, 0, 1, 0, 1, 0, 2]"
 O   OXX ,1,"[0, 2, 0, 0, 0, 2, 1, 1, 0]"
 OXOO X X,6,"[0, 2, 1, 2, 2, 0, 1, 0, 1]"
   XOOX  ,8,"[0, 0, 0, 1, 2, 2, 1, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XOOX   X,7,"[0, 1, 2, 2, 1, 0, 0, 0, 1]"
XX XOOOXO,3,"[1, 1, 0, 1, 2, 2, 2, 1, 2]"
X   X  OO,7,"[1, 0, 0, 0, 1, 0, 0, 2, 2]"
 X    OXO,1,"[0, 1, 0, 0, 0, 0, 2, 1, 2]"
 X    OXO,1,"[0, 1, 0, 0, 0, 0, 2, 1, 2]"
  XOX OOX,1,"[0, 0, 1, 2, 1, 0, 2, 2, 1]"
 X  O    ,4,"[0, 1, 0, 0, 2, 0, 0, 0, 0]"
X   O  XO,4,"[1, 0, 0, 0, 2, 0, 0, 1, 2]"
    X  OX,2,"[0, 0, 0, 0, 1, 0, 0, 2, 1]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
  O   X  ,9,"[0, 0, 2, 0, 0, 0, 1, 0, 0]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
X    O   ,3,"[1, 0, 0, 0, 0, 2, 0, 0, 0]"
O X XX O ,7,"[2, 0, 1, 0, 1, 1, 0, 2, 0]"
 O X  XO ,5,"[0, 2, 0, 1, 0, 0, 1, 2, 0]"
 XO      ,7,"[0, 1, 2, 0, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XXO XO  ,1,"[0, 1, 1, 2, 0, 1, 2, 0, 0]"
 XOOXXXOO,1,"[0, 1, 2, 2, 1, 1, 1, 2, 2]"
O O XXOX ,4,"[2, 0, 2, 0, 1, 1, 2, 1, 0]"
XOX XOOX ,9,"[1, 2, 1, 0, 1, 2, 2, 1, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X OO OX,2,"[1, 0, 1, 0, 2, 2, 0, 2, 1]"
O  OXO XX,7,"[2, 0, 0, 2, 1, 2, 0, 1, 1]"
X   O OXX,4,"[1, 0, 0, 0, 2, 0, 2, 1, 1]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XXOO    ,6,"[0, 1, 1, 2, 2, 0, 0, 0, 0]"
 O XXO X ,3,"[0, 2, 0, 1, 1, 2, 0, 1, 0]"
X   O    ,2,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
X  X O  O,3,"[1, 0, 0, 1, 0, 2, 0, 0, 2]"
XX    O O,8,"[1, 1, 0, 0, 0, 0, 2, 0, 2]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   XOXOX ,9,"[0, 0, 0, 1, 2, 1, 2, 1, 0]"
  X  OXO ,1,"[0, 0, 1, 0, 0, 2, 1, 2, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
 OXXOXO  ,9,"[0, 2, 1, 1, 2, 1, 2, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X XOOO ,2,"[1, 0, 1, 0, 1, 2, 2, 2, 0]"
   O X   ,7,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
 X X O O ,1,"[0, 1, 0, 1, 0, 2, 0, 2, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O XX X  O,5,"[2, 0, 1, 1, 0, 1, 0, 0, 2]"
  OXX  O ,9,"[0, 0, 2, 1, 1, 0, 0, 2, 0]"
O X  XXO ,5,"[2, 0, 1, 0, 0, 1, 1, 2, 0]"
  X X  O ,9,"[0, 0, 1, 0, 1, 0, 0, 2, 0]"
 OOOXXXX ,1,"[0, 2, 2, 2, 1, 1, 1, 1, 0]"
  O X   X,1,"[0, 0, 2, 0, 1, 0, 0, 0, 1]"
 XO  XO  ,5,"[0, 1, 2, 0, 0, 1, 2, 0, 0]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X O    X ,9,"[1, 0, 2, 0, 0, 0, 0, 1, 0]"
   X  X O,5,"[0, 0, 0, 1, 0, 0, 1, 0, 2]"
X O X X O,6,"[1, 0, 2, 0, 1, 0, 1, 0, 2]"
XO    XOX,5,"[1, 2, 0, 0, 0, 0, 1, 2, 1]"
XXOXX  OO,6,"[1, 1, 2, 1, 1, 0, 0, 2, 2]"
XOX OOXX ,4,"[1, 2, 1, 0, 2, 2, 1, 1, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
  O    X ,9,"[0, 0, 2, 0, 0, 0, 0, 1, 0]"
  O X   X,1,"[0, 0, 2, 0, 1, 0, 0, 0, 1]"
   XO    ,9,"[0, 0, 0, 1, 2, 0, 0, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
X O XXOO ,9,"[1, 0, 2, 0, 1, 1, 2, 2, 0]"
X OO O XX,7,"[1, 0, 2, 2, 0, 2, 0, 1, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXX X XO,5,"[2, 2, 1, 1, 0, 1, 0, 1, 2]"
 X   XO  ,9,"[0, 1, 0, 0, 0, 1, 2, 0, 0]"
XXO O  XO,6,"[1, 1, 2, 0, 2, 0, 0, 1, 2]"
   OXXXO ,3,"[0, 0, 0, 2, 1, 1, 1, 2, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
  XOXO   ,2,"[0, 0, 1, 2, 1, 2, 0, 0, 0]"
XO OXX O ,9,"[1, 2, 0, 2, 1, 1, 0, 2, 0]"
   O OXX ,5,"[0, 0, 0, 2, 0, 2, 1, 1, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XO      ,5,"[0, 1, 2, 0, 0, 0, 0, 0, 0]"
 X OXXO  ,8,"[0, 1, 0, 2, 1, 1, 2, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XX OOOXX,4,"[0, 1, 1, 0, 2, 2, 2, 1, 1]"
 XXXOOXO ,1,"[0, 1, 1, 1, 2, 2, 1, 2, 0]"
XXOOO X  ,6,"[1, 1, 2, 2, 2, 0, 1, 0, 0]"
XXO OO XX,7,"[1, 1, 2, 0, 2, 2, 0, 1, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
O XX O X ,7,"[2, 0, 1, 1, 0, 2, 0, 1, 0]"
X X OOXXO,4,"[1, 0, 1, 0, 2, 2, 1, 1, 2]"
   X O  X,1,"[0, 0, 0, 1, 0, 2, 0, 0, 1]"
  O X X  ,9,"[0, 0, 2, 0, 1, 0, 1, 0, 0]"
XXOO OX X,5,"[1, 1, 2, 2, 0, 2, 1, 0, 1]"
O   XO X ,7,"[2, 0, 0, 0, 1, 2, 0, 1, 0]"
OXOX  OXX,5,"[2, 1, 2, 1, 0, 0, 2, 1, 1]"
XX  OOO X,3,"[1, 1, 0, 0, 2, 2, 2, 0, 1]"
  XO XO  ,1,"[0, 0, 1, 2, 0, 1, 2, 0, 0]"
OX   X XO,5,"[2, 1, 0, 0, 0, 1, 0, 1, 2]"
    XO  X,4,"[0, 0, 0, 0, 1, 2, 0, 0, 1]"
X  O O XX,5,"[1, 0, 0, 2, 0, 2, 0, 1, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
OO   XXXO,3,"[2, 2, 0, 0, 0, 1, 1, 1, 2]"
  X  O X ,5,"[0, 0, 1, 0, 0, 2, 0, 1, 0]"
 X    XO ,1,"[0, 1, 0, 0, 0, 0, 1, 2, 0]"
O X  X  O,5,"[2, 0, 1, 0, 0, 1, 0, 0, 2]"
OX OX XO ,3,"[2, 1, 0, 2, 1, 0, 1, 2, 0]"
X XOOX   ,7,"[1, 0, 1, 2, 2, 1, 0, 0, 0]"
   XO  X ,1,"[0, 0, 0, 1, 2, 0, 0, 1, 0]"
 XX   OO ,9,"[0, 1, 1, 0, 0, 0, 2, 2, 0]"
OO X  X X,8,"[2, 2, 0, 1, 0, 0, 1, 0, 1]"
X   OXO X,3,"[1, 0, 0, 0, 2, 1, 2, 0, 1]"
X  OX    ,3,"[1, 0, 0, 2, 1, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X  O X O ,3,"[1, 0, 0, 2, 0, 1, 0, 2, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
 O OX X  ,9,"[0, 2, 0, 2, 1, 0, 1, 0, 0]"
    O  XX,7,"[0, 0, 0, 0, 2, 0, 0, 1, 1]"
XOX  X  O,8,"[1, 2, 1, 0, 0, 1, 0, 0, 2]"
  OX    X,1,"[0, 0, 2, 1, 0, 0, 0, 0, 1]"
 X XOX  O,8,"[0, 1, 0, 1, 2, 1, 0, 0, 2]"
XXOOXO   ,8,"[1, 1, 2, 2, 1, 2, 0, 0, 0]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
X X   O  ,9,"[1, 0, 1, 0, 0, 0, 2, 0, 0]"
X X O   O,4,"[1, 0, 1, 0, 2, 0, 0, 0, 2]"
OOXXO XX ,9,"[2, 2, 1, 1, 2, 0, 1, 1, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X  OX,3,"[0, 0, 0, 0, 1, 0, 0, 2, 1]"
    O  X ,3,"[0, 0, 0, 0, 2, 0, 0, 1, 0]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
X OX O   ,9,"[1, 0, 2, 1, 0, 2, 0, 0, 0]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
XO OOX  X,8,"[1, 2, 0, 2, 2, 1, 0, 0, 1]"
O  XX    ,6,"[2, 0, 0, 1, 1, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXOXX    ,6,"[2, 1, 2, 1, 1, 0, 0, 0, 0]"
XO     OX,5,"[1, 2, 0, 0, 0, 0, 0, 2, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X  X  O ,1,"[0, 1, 0, 0, 1, 0, 0, 2, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
OO XOXOXX,3,"[2, 2, 0, 1, 2, 1, 2, 1, 1]"
XO  OOX X,8,"[1, 2, 0, 0, 2, 2, 1, 0, 1]"
 OX    XO,7,"[0, 2, 1, 0, 0, 0, 0, 1, 2]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXOOX X O,6,"[1, 1, 2, 2, 1, 0, 1, 0, 2]"
XX O XO  ,3,"[1, 1, 0, 2, 0, 1, 2, 0, 0]"
 O XX   O,1,"[0, 2, 0, 1, 1, 0, 0, 0, 2]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
XX XOOO  ,3,"[1, 1, 0, 1, 2, 2, 2, 0, 0]"
O  XX O  ,2,"[2, 0, 0, 1, 1, 0, 2, 0, 0]"
  OOXXX O,1,"[0, 0, 2, 2, 1, 1, 1, 0, 2]"
OXXXOXO  ,9,"[2, 1, 1, 1, 2, 1, 2, 0, 0]"
XX O    O,5,"[1, 1, 0, 2, 0, 0, 0, 0, 2]"
  O O X X,4,"[0, 0, 2, 0, 2, 0, 1, 0, 1]"
OOX OXXX ,9,"[2, 2, 1, 0, 2, 1, 1, 1, 0]"
 OOX   X ,1,"[0, 2, 2, 1, 0, 0, 0, 1, 0]"
OXXOOX X ,9,"[2, 1, 1, 2, 2, 1, 0, 1, 0]"
 XXXO   O,1,"[0, 1, 1, 1, 2, 0, 0, 0, 2]"
 OXXX   O,7,"[0, 2, 1, 1, 1, 0, 0, 0, 2]"
  X    O ,9,"[0, 0, 1, 0, 0, 0, 0, 2, 0]"
XOO O XX ,6,"[1, 2, 2, 0, 2, 0, 1, 1, 0]"
 XO  XX O,4,"[0, 1, 2, 0, 0, 1, 1, 0, 2]"
XX O    O,5,"[1, 1, 0, 2, 0, 0, 0, 0, 2]"
O  X OXOX,5,"[2, 0, 0, 1, 0, 2, 1, 2, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O X X  O,1,"[0, 2, 0, 1, 0, 1, 0, 0, 2]"
O  O  X X,2,"[2, 0, 0, 2, 0, 0, 1, 0, 1]"
OOX    X ,4,"[2, 2, 1, 0, 0, 0, 0, 1, 0]"
OOXX   OX,6,"[2, 2, 1, 1, 0, 0, 0, 2, 1]"
   X  O  ,3,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O  XX O,4,"[0, 0, 2, 0, 0, 1, 1, 0, 2]"
 XOXOXX O,1,"[0, 1, 2, 1, 2, 1, 1, 0, 2]"
   OX X O,8,"[0, 0, 0, 2, 1, 0, 1, 0, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
O   XXO  ,4,"[2, 0, 0, 0, 1, 1, 2, 0, 0]"
  OX    X,1,"[0, 0, 2, 1, 0, 0, 0, 0, 1]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX X   O ,5,"[2, 1, 0, 1, 0, 0, 0, 2, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
O OXOXX  ,2,"[2, 0, 2, 1, 2, 1, 1, 0, 0]"
XXO OO X ,7,"[1, 1, 2, 0, 2, 2, 0, 1, 0]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O   XOX  ,8,"[2, 0, 0, 0, 1, 2, 1, 0, 0]"
O XXXO OX,7,"[2, 0, 1, 1, 1, 2, 0, 2, 1]"
OOXX  X O,5,"[2, 2, 1, 1, 0, 0, 1, 0, 2]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    OOX X,4,"[0, 0, 0, 0, 2, 2, 1, 0, 1]"
   X  X O,5,"[0, 0, 0, 1, 0, 0, 1, 0, 2]"
 O  XOXXO,3,"[0, 2, 0, 0, 1, 2, 1, 1, 2]"
X  XO   O,3,"[1, 0, 0, 1, 2, 0, 0, 0, 2]"
  O XXX O,4,"[0, 0, 2, 0, 1, 1, 1, 0, 2]"
 XX XO OO,1,"[0, 1, 1, 0, 1, 2, 0, 2, 2]"
XOOOXXX  ,9,"[1, 2, 2, 2, 1, 1, 1, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
 X  OX  O,1,"[0, 1, 0, 0, 2, 1, 0, 0, 2]"
O XXOX O ,9,"[2, 0, 1, 1, 2, 1, 0, 2, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXO XXX ,9,"[2, 2, 1, 2, 0, 1, 1, 1, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O   X  ,1,"[0, 0, 2, 0, 0, 0, 1, 0, 0]"
      XO ,5,"[0, 0, 0, 0, 0, 0, 1, 2, 0]"
O  X XOOX,5,"[2, 0, 0, 1, 0, 1, 2, 2, 1]"
  X O  X ,6,"[0, 0, 1, 0, 2, 0, 0, 1, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXOXX XO,7,"[2, 2, 1, 2, 1, 1, 0, 1, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X  OO  X ,6,"[1, 0, 0, 2, 2, 0, 0, 1, 0]"
XOX     O,7,"[1, 2, 1, 0, 0, 0, 0, 0, 2]"
 OX OX   ,9,"[0, 2, 1, 0, 2, 1, 0, 0, 0]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
O O X XX ,2,"[2, 0, 2, 0, 1, 0, 1, 1, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXO OOX X,4,"[1, 1, 2, 0, 2, 2, 1, 0, 1]"
  XXOO OX,2,"[0, 0, 1, 1, 2, 2, 0, 2, 1]"
 X  XO   ,3,"[0, 1, 0, 0, 1, 2, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXO OXXOO,4,"[1, 1, 2, 0, 2, 1, 1, 2, 2]"
   X     ,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
 X   OX  ,5,"[0, 1, 0, 0, 0, 2, 1, 0, 0]"
OXXXOXOO ,9,"[2, 1, 1, 1, 2, 1, 2, 2, 0]"
 O  X  XO,4,"[0, 2, 0, 0, 1, 0, 0, 1, 2]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
   OXO  X,3,"[0, 0, 0, 2, 1, 2, 0, 0, 1]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
XX O OXXO,5,"[1, 1, 0, 2, 0, 2, 1, 1, 2]"
XO   X   ,5,"[1, 2, 0, 0, 0, 1, 0, 0, 0]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
 X OOXO X,3,"[0, 1, 0, 2, 2, 1, 2, 0, 1]"
       OX,5,"[0, 0, 0, 0, 0, 0, 0, 2, 1]"
 OX X    ,7,"[0, 2, 1, 0, 1, 0, 0, 0, 0]"
   OXO  X,8,"[0, 0, 0, 2, 1, 2, 0, 0, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O XXX   O,6,"[2, 0, 1, 1, 1, 0, 0, 0, 2]"
X     OX ,2,"[1, 0, 0, 0, 0, 0, 2, 1, 0]"
 OXX     ,5,"[0, 2, 1, 1, 0, 0, 0, 0, 0]"
O  X X   ,5,"[2, 0, 0, 1, 0, 1, 0, 0, 0]"
